review,sentiment,movie,predicted_sentiment
"A heartwarming story about family and resilience. The performances were top-notch, and I was completely invested from beginning to end.",Positive,The Baker's Secret,Neutral
"Utterly predictable and devoid of any originality. I've seen this plot a hundred times before, and each time it's done better.",Negative,Echoes of Yesterday,Negative
"Visually stunning, but the narrative felt thin and underdeveloped. I wanted more substance to back up the spectacle.",Neutral,Astral Tides,Neutral
"The acting was superb, especially the lead actress who delivered a career-defining performance. A must-see!",Positive,Crimson Bloom,Positive
"I struggled to stay awake through this bore. The pacing was glacial, and the characters were uninteresting.",Negative,The Silent Watcher,Negative
"A thought-provoking film that challenges your perspective. It's not always easy to watch, but it's definitely worth it.",Positive,Fractured Truth,Neutral
"The special effects were laughably bad, and the plot made absolutely no sense. A complete waste of time and money.",Negative,Galactic Raiders 7,Negative
"I'm still not sure what I just watched. It was weird, confusing, and ultimately unsatisfying.",Neutral,The Labyrinth of Dreams,Neutral
A charming and delightful romantic comedy. Perfect for a lighthearted evening.,Positive,Accidental Love,Neutral
"The dialogue was stilted and unnatural, and the characters behaved in illogical ways. A poorly written mess.",Negative,Shadow Conspiracy,Neutral
A powerful and moving drama that will stay with you long after the credits roll. Be prepared to shed a tear.,Positive,Forgotten Promises,Positive
"This film had potential, but it was ultimately squandered by poor direction and a convoluted plot.",Neutral,The Quantum Enigma,Negative
"Absolutely gripping from start to finish. The suspense was palpable, and I was on the edge of my seat the entire time.",Positive,Midnight Caller,Positive
"The humor fell flat, and the story was predictable. I wouldn't recommend this to anyone.",Negative,Comedy Chaos,Neutral
A beautifully crafted film with stunning cinematography and a haunting score. A true work of art.,Positive,Whispers of the Wind,Negative
"The plot was all over the place, and the characters were poorly developed. I couldn't connect with anything.",Negative,Broken Code,Negative
"A decent movie, but nothing special. It's entertaining enough, but ultimately forgettable.",Neutral,Summer Fling,Neutral
"The soundtrack was great, but the movie itself was a snooze fest. I was hoping for more.",Neutral,Neon Nights,Neutral
"I loved every second of it! A perfect blend of action, humor, and heart. Highly recommend!",Positive,Renegade Justice,Positive
